p[kN/m]@2m,p[kN/m]@2m,p[kN/m]@4m,p[kN/m]@4m,p[kN/m]@10m,p[kN/m]@10m,p[kN/m]@15m,p[kN/m]@15m,p[kN/m]@25m,p[kN/m]@25m,p[kN/m]@50m,p[kN/m]@50m
10.429906,0.048285034,0.8601835,0.004929427,719.34894,0.003620353,1789.018,0.00508056,1937.8691,0.022644911,24523.271,0.013423472
10.862276,0.049280483,0.86478174,0.004945564,725.5167,0.003655164,1804.357,0.005129412,1947.479,0.022986919,24733.535,0.013552544
10.88723,0.049337327,0.8773959,0.004989665,731.66486,0.003689975,1819.6476,0.005178263,1961.7621,0.023501607,24943.13,0.013681616
11.1225,0.04987011,0.8805309,0.005000587,737.79333,0.003724786,1834.889,0.005227115,1966.5724,0.023676665,25152.057,0.013810688
11.4816675,0.050672766,0.88659734,0.005021679,743.902,0.003759597,1850.0812,0.005275967,1972.4998,0.02389358,25360.307,0.01393976
11.838907,0.05145881,0.91045344,0.005104088,749.9908,0.003794408,1865.224,0.005324818,1978.7798,0.024124851,25567.879,0.014068832
11.897428,0.051586445,0.91058594,0.005104543,756.0595,0.003829219,1880.317,0.00537367,1982.5854,0.024265725,25774.768,0.014197903
12.030012,0.051874463,0.9561423,0.00525962,762.1082,0.00386403,1895.3601,0.005422521,1982.6,0.024266263,25980.975,0.014326975
12.078289,0.051978942,0.9613221,0.00527707,768.1367,0.003898841,1910.3529,0.005471373,1990.1385,0.024546947,26186.492,0.014456047
12.296693,0.052449036,0.961964,0.00527923,774.14496,0.003933652,1925.2954,0.005520224,2000.0892,0.024920762,26391.318,0.014585119
12.584509,0.05306223,0.9753037,0.00532399,780.1329,0.003968464,1940.1873,0.005569076,2001.1144,0.024959486,26595.451,0.014714191
12.598065,0.053090937,0.9868342,0.005362489,786.1003,0.004003275,1955.0282,0.005617927,2007.3497,0.025195906,26798.885,0.014843263
12.932443,0.05379426,1.0020343,0.005412975,792.0472,0.004038086,1969.8181,0.005666779,2011.0122,0.025335472,27001.621,0.014972334
12.993294,0.05392128,1.0155402,0.005457586,797.97345,0.004072897,1984.5568,0.005715631,2020.9684,0.025717478,27203.652,0.015101406
13.197054,0.054344453,1.0179863,0.005465641,803.879,0.004107708,1999.2439,0.005764482,2022.2161,0.02576562,27404.979,0.015230478
13.283166,0.05452231,1.0229812,0.005482066,809.76385,0.004142519,2013.8794,0.005813334,2022.379,0.025771916,27605.598,0.01535955
13.497814,0.054963175,1.0342209,0.005518913,815.62775,0.00417733,2028.4629,0.005862185,2029.6173,0.026052449,27805.504,0.015488622
13.765446,0.055508006,1.0431075,0.005547936,821.47076,0.004212141,2042.9945,0.005911036,2032.5375,0.0261662,28004.697,0.015617694
14.143082,0.056267887,1.055424,0.005588004,827.2927,0.004246953,2057.4736,0.005959888,2035.4736,0.026280914,28203.174,0.015746765
14.371706,0.05672303,1.064245,0.005616589,833.0936,0.004281764,2071.9006,0.00600874,2041.2151,0.026506193,28400.934,0.015875837
14.728591,0.057426363,1.0649395,0.005618835,838.8734,0.004316574,2086.275,0.006057591,2043.5989,0.026600108,28597.97,0.016004909
15.030323,0.058014415,1.0985299,0.005726832,844.63196,0.004351385,2100.5962,0.006106443,2049.4314,0.026830826,28794.283,0.01613398
15.357382,0.058645234,1.1131908,0.005773566,850.3692,0.004386197,2114.8647,0.006155294,2052.956,0.026970902,28989.871,0.016263053
15.802717,0.059493523,1.1264819,0.005815729,856.0851,0.004421008,2129.08,0.006204146,2068.3123,0.027586896,29184.732,0.016392125
15.877297,0.059634417,1.1357619,0.005845053,861.77954,0.004455819,2143.2422,0.006252998,2069.4866,0.027634392,29378.861,0.016521197
16.087807,0.060030337,1.1393427,0.005856344,867.4525,0.00449063,2157.351,0.006301849,2072.5146,0.0277571,29572.26,0.016650269
16.12781,0.060105283,1.1423362,0.005865772,873.104,0.004525441,2171.406,0.0063507,2092.0728,0.028558495,29764.922,0.01677934
16.521774,0.06083848,1.1671115,0.005943438,878.7339,0.004560252,2185.4075,0.006399552,2108.09,0.029226229,29956.85,0.016908413
16.546469,0.060884148,1.1740649,0.005965121,884.34204,0.004595063,2199.3552,0.006448404,2110.5867,0.029331245,30148.04,0.017037483
16.560465,0.060910013,1.1773841,0.005975454,889.9286,0.004629874,2213.2488,0.006497255,2111.3381,0.029362896,30338.488,0.017166555
16.88881,0.061513767,1.1865616,0.006003965,895.4933,0.004664685,2227.0881,0.006546107,2121.2112,0.029780963,30528.195,0.017295627
16.94876,0.06162337,1.2234389,0.00611768,901.03625,0.004699497,2240.8735,0.006594958,2125.79,0.029976195,30717.158,0.017424699
17.04474,0.061798446,1.2247651,0.006121744,906.5573,0.004734308,2254.6045,0.00664381,2129.7363,0.030145139,30905.377,0.01755377
17.595474,0.06279367,1.2312192,0.0061415,912.0565,0.004769119,2268.2808,0.006692661,2134.7744,0.030361755,31092.85,0.017682843
17.690727,0.06296422,1.2431605,0.006177948,917.5337,0.00480393,2281.9026,0.006741513,2137.3909,0.030474657,31279.572,0.017811915
17.887285,0.06331472,1.2776719,0.006282531,922.98895,0.004838741,2295.4697,0.006790364,2139.9758,0.030586477,31465.547,0.017940987
17.961767,0.063447036,1.3304237,0.006440302,928.4221,0.004873552,2308.9822,0.006839216,2140.5508,0.030611385,31650.77,0.018070059
18.31326,0.06406779,1.373702,0.006567939,933.83325,0.004908363,2322.4395,0.006888067,2153.4648,0.03117446,31835.24,0.01819913
18.369026,0.06416573,1.4275515,0.006724601,939.2223,0.004943174,2335.842,0.006936919,2160.4739,0.031482942,32018.955,0.018328203
18.76134,0.06485058,1.4284072,0.006727071,944.5891,0.004977985,2349.1895,0.006985771,2169.9612,0.03190376,32201.916,0.018457275
19.59438,0.06628159,1.4625005,0.006825053,949.9338,0.005012796,2362.4814,0.007034622,2175.6904,0.032159705,32384.121,0.018586345
20.331964,0.06752353,1.4627248,0.006825695,955.2563,0.005047607,2375.7185,0.007083474,2177.1929,0.032227043,32565.568,0.018715417
20.503109,0.06780849,1.5362198,0.007033946,960.55646,0.005082418,2388.9001,0.007132325,2181.0288,0.032399412,32746.258,0.018844489
21.324402,0.069159746,1.54069,0.007046487,965.8344,0.005117229,2402.0264,0.007181177,2182.6785,0.032473728,32926.188,0.018973561
21.343082,0.069190174,1.567983,0.007122751,971.09,0.005152041,2415.097,0.007230028,2190.9324,0.03284728,33105.355,0.019102633
21.48459,0.06942026,1.5734549,0.007137979,976.3233,0.005186852,2428.112,0.00727888,2202.563,0.033378538,33283.766,0.019231705
21.550089,0.06952651,1.5750964,0.007142543,981.53424,0.005221663,2441.0718,0.007327731,2205.0398,0.0334924,33461.41,0.019360777
21.584148,0.069581695,1.5883709,0.007179386,986.7228,0.005256474,2453.9756,0.007376583,2217.3286,0.034061227,33638.293,0.019489849
21.884972,0.07006722,1.6287888,0.007290836,991.889,0.005291285,2466.8237,0.007425434,2219.9436,0.034183107,33814.41,0.019618921
21.95137,0.07017394,1.6312867,0.007297689,997.0327,0.005326096,2479.6162,0.007474286,2227.4045,0.03453243,33989.766,0.019747993
22.380646,0.07086005,1.6406254,0.007323272,1002.154,0.005360907,2492.3528,0.007523138,2227.9338,0.034557305,34164.355,0.019877065
23.075422,0.07195678,1.659322,0.007374322,1007.2528,0.005395718,2505.0337,0.007571989,2245.8855,0.035408,34338.18,0.020006137
23.91789,0.07326484,1.6981895,0.007479741,1012.32916,0.005430529,2517.6587,0.00762084,2246.9763,0.035460137,34511.24,0.020135209
24.4564,0.07408896,1.7208263,0.007540707,1017.38306,0.00546534,2530.2275,0.007669692,2251.363,0.035670344,34683.527,0.02026428
24.66331,0.07440321,1.7763822,0.007689033,1022.4144,0.005500151,2542.7405,0.007718544,2257.9636,0.035988193,34855.055,0.020393351
25.366528,0.075461544,1.7792608,0.007696669,1027.4233,0.005534962,2555.1978,0.007767395,2264.6904,0.036314063,35025.812,0.020522423
25.408329,0.075523995,1.7922246,0.007731,1032.4097,0.005569773,2567.5986,0.007816247,2265.4414,0.036350567,35195.8,0.020651495
25.533236,0.07571029,1.8015846,0.007755726,1037.3735,0.005604585,2579.9438,0.007865098,2278.447,0.036986634,35365.023,0.020780567
25.678213,0.07592595,1.8249067,0.007817123,1042.3148,0.005639396,2592.2327,0.00791395,2279.1294,0.037020218,35533.477,0.02090964
25.902596,0.076258555,1.848141,0.007877987,1047.2336,0.005674207,2604.4658,0.007962802,2282.507,0.037186723,35701.16,0.021038711
26.158934,0.07663676,1.870686,0.007936764,1052.1299,0.005709018,2616.6426,0.008011653,2282.7834,0.037200358,35868.08,0.021167783
26.455523,0.07707207,1.9100728,0.008038794,1057.0035,0.005743829,2628.7634,0.008060505,2286.4348,0.03738097,36034.227,0.021296855
26.681482,0.077402085,1.9263669,0.008080765,1061.8547,0.00577864,2640.8284,0.008109356,2292.738,0.037694126,36199.61,0.021425927
27.189129,0.07813847,1.934165,0.008100803,1066.6833,0.005813451,2652.8372,0.008158208,2300.0464,0.0380594,36364.223,0.021554999
27.663399,0.07882028,1.9460701,0.008131334,1071.4894,0.005848262,2664.7898,0.008207059,2303.4136,0.038228493,36528.066,0.021684071
27.949291,0.07922847,1.9802917,0.008218697,1076.273,0.005883073,2676.6865,0.00825591,2304.9463,0.038305633,36691.14,0.021813141
28.125042,0.079478376,1.9830978,0.008225834,1081.034,0.005917884,2688.5273,0.008304762,2307.1711,0.038417786,36853.45,0.021942213
28.57518,0.080114916,1.9898269,0.008242934,1085.7726,0.005952695,2700.312,0.008353613,2310.5515,0.038588613,37014.99,0.022071285
29.26625,0.08108252,2.0169976,0.008311755,1090.4885,0.005987506,2712.0408,0.008402465,2310.9272,0.03860763,37175.76,0.022200357
29.470535,0.08136637,2.0287304,0.008341362,1095.1821,0.006022318,2723.7134,0.008451317,2331.3896,0.03965289,37335.77,0.02232943
29.618917,0.08157193,2.1285784,0.008590696,1099.8531,0.006057129,2735.3303,0.008500168,2333.236,0.039748132,37495.01,0.022458501
29.824753,0.08185623,2.166518,0.008684243,1104.5017,0.00609194,2746.8914,0.00854902,2333.5088,0.039762218,37653.484,0.022587573
30.176748,0.08234016,2.1720333,0.00869779,1109.1278,0.006126751,2758.3962,0.008597871,2338.333,0.04001184,37811.19,0.022716645
30.449202,0.082712814,2.1754677,0.008706218,1113.7314,0.006161562,2769.8457,0.008646723,2350.8667,0.040665284,37968.133,0.022845717
30.856771,0.08326718,2.1775126,0.008711234,1118.3126,0.006196373,2781.239,0.008695575,2354.9941,0.040882017,38124.312,0.02297479
31.238995,0.08378378,2.1879063,0.008736702,1122.8715,0.006231184,2792.577,0.008744426,2361.057,0.04120179,38279.727,0.023103861
31.29413,0.083858036,2.2358048,0.008853465,1127.408,0.006265995,2803.859,0.008793278,2367.0063,0.0415172,38434.38,0.023232933
31.54109,0.084189855,2.2387831,0.008860693,1131.922,0.006300806,2815.0854,0.008842129,2368.136,0.04157728,38588.266,0.023362005
32.443905,0.08539202,2.2529519,0.008895029,1136.4137,0.006335618,2826.256,0.008890981,2369.301,0.041639287,38741.395,0.023491075
33.81091,0.08718103,2.357011,0.00914469,1140.883,0.006370429,2837.3716,0.008939832,2370.4827,0.04170225,38893.758,0.023620147
34.083218,0.08753308,2.3760202,0.009189832,1145.3301,0.00640524,2848.4314,0.008988684,2372.4514,0.041807298,39045.363,0.02374922
34.14779,0.08761635,2.3999119,0.009246372,1149.7549,0.00644005,2859.4358,0.009037536,2375.85,0.041989055,39196.207,0.023878291
34.305843,0.08781985,2.4180684,0.009289194,1154.1575,0.006474862,2870.385,0.009086387,2379.058,0.04216109,39346.293,0.024007363
35.153156,0.08890295,2.424421,0.009304147,1158.5377,0.006509673,2881.2788,0.009135238,2396.782,0.043120123,39495.625,0.024136435
35.298923,0.08908796,2.4254522,0.009306573,1162.8959,0.006544484,2892.1174,0.00918409,2399.1914,0.043251608,39644.195,0.024265507
36.121555,0.09012503,2.4600005,0.009387618,1167.2318,0.006579295,2902.901,0.009232941,2402.2373,0.043418217,39792.01,0.02439458
36.174416,0.09019127,2.4896424,0.009456803,1171.5457,0.006614106,2913.6294,0.009281793,2402.557,0.043435723,39939.074,0.024523651
36.442825,0.09052686,2.5061388,0.009495167,1175.8374,0.006648917,2924.3027,0.009330644,2404.6753,0.043551892,40085.383,0.024652723
36.759186,0.09092081,2.524877,0.009538627,1180.1069,0.006683728,2934.9214,0.009379496,2407.054,0.04368256,40230.938,0.024781795
37.15281,0.09140865,2.5483131,0.009592808,1184.3546,0.006718539,2945.485,0.009428347,2413.4353,0.044034448,40375.742,0.024910867
37.21548,0.09148608,2.5495925,0.00959576,1188.5802,0.00675335,2955.9941,0.009477199,2414.2742,0.044080842,40519.797,0.025039937
37.25988,0.091540895,2.5606296,0.009621205,1192.7838,0.006788162,2966.4485,0.009526051,2417.0173,0.044232786,40663.1,0.02516901
