p[kN/m]@6m,y[m]@6m,p[kN/m]@11m,y[m]@11m,p[kN/m]@16m,y[m]@16m,p[kN/m]@24m,y[m]@24m,p[kN/m]@40m,y[m]@40m,p[kN/m]@49m,y[m]@49m
123.613365,0.3053676,123.613365,0.40667817,123.613365,0.17256238,878.8944,0.28707364,8268.795,0.013648341,18946.346,0.0255286
123.613365,0.30624595,123.613365,0.4071399,123.613365,0.17267963,879.81696,0.28798777,8272.276,0.013678404,18954.322,0.025584832
123.613365,0.31077844,123.613365,0.40725413,123.613365,0.1727634,879.8193,0.28799006,8275.73,0.013708466,18962.238,0.025641061
123.613365,0.31085342,123.613365,0.40749225,123.613365,0.17381068,880.64246,0.28880733,8279.159,0.013738529,18970.094,0.025697293
123.613365,0.3123135,123.613365,0.4076358,123.613365,0.17404595,881.26776,0.28942922,8282.562,0.013768591,18977.89,0.025753522
123.613365,0.31306192,123.613365,0.40863153,123.613365,0.17435329,881.5835,0.28974354,8285.938,0.013798653,18985.627,0.025809754
123.613365,0.3160029,123.613365,0.40950382,123.613365,0.17482138,882.2249,0.2903829,8289.29,0.013828715,18993.307,0.025865983
123.613365,0.31664568,123.613365,0.41003832,123.613365,0.17596719,882.2997,0.29045746,8292.615,0.013858778,19000.926,0.025922215
123.613365,0.31699842,123.613365,0.41036588,123.613365,0.17691034,882.73865,0.29089558,8295.916,0.013888841,19008.488,0.025978444
123.613365,0.31707212,123.613365,0.4117482,123.613365,0.17711848,883.97845,0.2921354,8299.191,0.013918903,19015.994,0.026034676
123.613365,0.31852832,123.613365,0.41391033,123.613365,0.17721441,884.056,0.2922131,8302.442,0.013948966,19023.441,0.026090905
123.613365,0.31943586,123.613365,0.4148761,123.613365,0.17757513,884.1885,0.29234576,8305.668,0.013979028,19030.834,0.026147136
123.613365,0.32127815,123.613365,0.41634434,123.613365,0.1784492,884.3718,0.2925295,8308.869,0.01400909,19038.168,0.026203366
123.613365,0.3227657,123.613365,0.41654822,123.613365,0.17899369,886.0389,0.2942037,8312.046,0.014039152,19045.447,0.026259596
123.613365,0.3244182,123.613365,0.41695097,123.613365,0.17947969,887.9821,0.29616332,8315.199,0.014069215,19052.672,0.026315827
123.613365,0.32460716,123.613365,0.4180788,123.613365,0.18032663,888.1463,0.29632932,8318.328,0.014099278,19059.842,0.026372056
123.613365,0.3257261,123.613365,0.41861954,123.613365,0.18093777,888.361,0.29654643,8321.433,0.01412934,19066.955,0.026428288
123.613365,0.32645792,123.613365,0.42029423,123.613365,0.181645,888.3877,0.29657343,8324.515,0.014159402,19074.016,0.026484517
123.613365,0.32689416,123.613365,0.42284968,123.613365,0.18170471,888.88257,0.29707432,8327.572,0.014189465,19081.023,0.026540749
123.613365,0.32732692,123.613365,0.42292422,123.613365,0.18278731,889.9037,0.29810968,8330.606,0.014219527,19087.977,0.026596978
123.613365,0.32796153,123.613365,0.4234359,123.613365,0.18330376,891.2722,0.29950112,8333.618,0.014249589,19094.877,0.02665321
123.613365,0.32837507,123.613365,0.4242539,123.613365,0.18334232,891.3371,0.29956716,8336.606,0.014279652,19101.725,0.02670944
123.613365,0.3285703,123.613365,0.42483076,123.613365,0.18370791,891.3732,0.299604,8339.572,0.014309715,19108.52,0.02676567
123.613365,0.3287427,123.613365,0.4263304,123.613365,0.1838071,892.97144,0.30123472,8342.516,0.014339777,19115.262,0.0268219
123.613365,0.32976672,123.613365,0.42666814,123.613365,0.18410774,893.04913,0.30131418,8345.437,0.014369839,19121.955,0.026878132
123.613365,0.33040407,123.613365,0.42813456,123.613365,0.1841502,893.5861,0.30186352,8348.335,0.014399902,19128.596,0.026934361
123.613365,0.33092463,123.613365,0.42825526,123.613365,0.18462324,893.6391,0.3019178,8351.211,0.014429964,19135.186,0.026990592
123.613365,0.33152154,123.613365,0.4283362,123.613365,0.1848137,893.8576,0.30214152,8354.064,0.014460026,19141.725,0.027046822
123.613365,0.33194607,123.613365,0.43022403,123.613365,0.18499537,895.2469,0.30356684,8356.897,0.014490089,19148.215,0.027103052
123.613365,0.331975,123.613365,0.43283305,123.613365,0.18525511,895.4435,0.3037689,8359.708,0.014520152,19154.654,0.027159283
123.613365,0.33366498,123.613365,0.43472144,123.613365,0.18655866,896.2704,0.3046197,8362.497,0.014550214,19161.047,0.027215512
123.613365,0.33374777,123.613365,0.4353717,123.613365,0.18721952,896.51263,0.3048693,8365.265,0.014580276,19167.389,0.027271744
123.613365,0.33438396,123.613365,0.4365544,123.613365,0.18814881,896.97363,0.30534458,8368.012,0.014610339,19173.682,0.027327973
123.613365,0.33567083,123.613365,0.43937615,123.613365,0.18836522,897.65295,0.3060459,8370.737,0.014640401,19179.926,0.027384205
123.613365,0.33609542,123.613365,0.44054917,123.613365,0.18974236,897.9595,0.3063627,8373.441,0.014670463,19186.123,0.027440434
123.613365,0.33742955,123.613365,0.44207433,123.613365,0.18979715,898.8282,0.30726174,8376.126,0.014700526,19192.273,0.027496666
123.613365,0.33750576,123.613365,0.44333276,123.613365,0.19094609,899.1012,0.3075446,8378.789,0.014730589,19198.377,0.027552895
123.613365,0.3385381,123.613365,0.44346273,123.613365,0.19324946,899.2167,0.30766433,8381.433,0.014760651,19204.432,0.027609127
123.613365,0.34577888,123.613365,0.44418815,123.613365,0.19343852,899.3669,0.30782005,8384.055,0.014790713,19210.441,0.027665356
123.613365,0.34602544,123.613365,0.4445766,123.613365,0.1936037,899.6477,0.30811146,8386.657,0.014820776,19216.404,0.027721588
123.613365,0.3468094,123.613365,0.44680032,123.613365,0.19440784,899.87256,0.30834487,8389.24,0.014850838,19222.322,0.027777817
123.613365,0.34683537,123.613365,0.4468587,123.613365,0.19472885,900.5471,0.30904585,8391.803,0.0148809,19228.195,0.027834048
123.613365,0.34689584,123.613365,0.44709697,123.613365,0.19516912,901.195,0.30972004,8394.346,0.014910963,19234.021,0.027890278
123.613365,0.34692514,123.613365,0.44827458,123.613365,0.19554566,901.3474,0.3098788,8396.869,0.014941026,19239.805,0.027946508
123.613365,0.3469942,123.613365,0.44884974,123.613365,0.19577481,901.4554,0.30999133,8399.374,0.014971088,19245.543,0.028002739
123.613365,0.34708133,123.613365,0.44918078,123.613365,0.19613108,903.0137,0.31161794,8401.858,0.01500115,19251.236,0.028058968
123.613365,0.3476807,123.613365,0.44985452,123.613365,0.19692224,903.5602,0.31218985,8404.324,0.015031213,19256.885,0.0281152
123.613365,0.34799385,123.613365,0.45131004,123.613365,0.19709323,903.96893,0.312618,8406.771,0.015061275,19262.492,0.02817143
123.613365,0.34805086,123.613365,0.45191807,123.613365,0.19712263,903.9889,0.3126389,8409.199,0.015091337,19268.055,0.02822766
123.613365,0.3481368,123.613365,0.4528947,123.613365,0.19735876,905.1931,0.31390265,8411.608,0.0151214,19273.576,0.02828389
123.613365,0.3484164,123.613365,0.45362207,123.613365,0.19806466,905.5209,0.3142472,8414,0.015151463,19279.055,0.028340122
123.613365,0.3495243,123.613365,0.4541559,123.613365,0.19863701,906.4432,0.3152181,8416.372,0.015181525,19284.49,0.028396351
123.613365,0.3510922,123.613365,0.45422235,123.613365,0.19870298,906.4447,0.31521973,8418.726,0.015211587,19289.885,0.028452583
123.613365,0.35142496,123.613365,0.45437965,123.613365,0.19902812,906.6385,0.315424,8421.0625,0.01524165,19295.236,0.028508812
123.613365,0.35199323,123.613365,0.45534006,123.613365,0.19953577,907.37946,0.31620583,8423.38,0.015271712,19300.547,0.028565044
123.613365,0.35205996,123.613365,0.45583147,123.613365,0.19968921,908.15533,0.3170258,8425.68,0.015301774,19305.818,0.028621273
123.613365,0.35244513,123.613365,0.45625037,123.613365,0.19971535,908.6774,0.31757846,8427.963,0.015331837,19311.047,0.028677503
123.613365,0.35438308,123.613365,0.45735952,123.613365,0.19981194,908.9119,0.31782687,8430.228,0.0153619,19316.236,0.028733734
123.613365,0.3562116,123.613365,0.4581129,123.613365,0.19992599,909.271,0.31820753,8432.475,0.015391962,19321.387,0.028789964
123.613365,0.35637012,123.613365,0.45848835,123.613365,0.20045426,909.81213,0.3187817,8434.704,0.015422024,19326.496,0.028846195
123.613365,0.35711104,123.613365,0.45911345,123.613365,0.20058444,910.95807,0.32,8436.917,0.015452087,19331.566,0.028902424
123.613365,0.3571605,123.613365,0.46047038,123.613365,0.20070039,917.2943,0.3240472,8439.113,0.015482149,19336.598,0.028958656
